,debate,date,speech,name,party,sentiment,score
31,Brexit: Women in the Workplace,16 January 2018,"Has my noble friend read the recent report by the eminent economist Patrick Minford, who says that a no-deal Brexit will cost the EU £500 billion and will benefit the UK by £640 billion? Does that not say it all—for women as well as for the rest of us?",Lord Spicer,Conservative,Confident,0.869578
32,Brexit: Financial Settlement,12 October 2017,"I take the point, but when does my noble friend expect the valuation of EU assets to be completed? Is it not the case that if proper account is taken of the assets, we could even end up with the EU paying us, rather than the other way round? You first heard the idea here.",Lord Spicer,Conservative,Tentative,0.769536
33,Brexit: UK-EU Movement of People (EUC Report),17 July 2017,"I want to look at whether Britain gains enormous economic benefit by being in the single market. Let us think about what the economists are saying. The brightest economist I know is in this Chamber at the moment: the noble Lord, Lord Burns, whom I have known for many years and from well before he was a famous civil servant. Economists are saying two things at the moment: one is that we will have modest growth with full employment and the other is that we will have abysmal productivity figures. Why in those circumstances do we give priority to belonging to a club that restricts growth and builds walls to protect itself? Why do we need to be protectionist, when what we really want is the urge of competition to give us the spur to deal with the fundamental problem of our abysmal productivity figures? We never seem to argue against such protectionism. We keep on thinking about extra markets and so on, but we never think of the fact that, with respect to Europe, we do not have policies that spur us to sell our goods around the world through competition and not through protectionism. We do not want a customs union or, in trade, protectionist walls around our economic activities; we need the spur of competition. Selling our goods around Europe will be key to what we do. That is what we keep missing when we think about staying in the single market.",Lord Spicer,Conservative,Joy,0.605026
34,Brexit: Armed Forces and Diplomatic Service,8 December 2016,"I will give two simple anecdotes as to what I am trying to get at. The first concerns a BBC film of a British warplane intercepting a Russian plane in British airspace—an event that, as I have just learned from a letter from my noble friend the Minister of 24 November, occurs regularly. This particular film not only showed the images, but you heard the voice of the British pilot, which went something like, “Good evening, gentlemen. I represent Her Majesty’s Government and on behalf of Her Majesty’s Government I have to tell you that if you don’t turn around in half a minute, I’m going to shoot you down”. Apparently even at the height of the Cold War we said something slightly different—something like, “Good evening. We represent Her Majesty’s Government. It looks as if you’re a bit off piste, and it would give us great honour to escort you back to your normal course”. In this particular anecdote, the temperature has undoubtedly increased enormously.",Lord Spicer,Conservative,Tentative,0.808202
35,Brexit: Reports to Parliament,8 January 2018,"Is my noble friend aware that the British people are now much tougher in their attitude to the negotiations going on in Brussels? They are tired of seeing arrogant and rude officials speaking on behalf of the EU. They want full details of what is now proposed from Europe, as opposed to what they are getting at the moment.",Lord Spicer,Conservative,Anger,0.544942
36,Brexit: European Travel Information and Authorisation System,17 January 2018,"My Lords, can I ask an even more helpful question than has come forward so far? So far, we have been discussing the signed agreements to the main treaty. Is it not becoming increasingly apparent that the real loser from not signing most of these agreements will be the EU itself?",Lord Spicer,Conservative,Sadness,0.659839
37,Brexit: Financial Settlement,13 November 2017,"My Lords, have we not got it exactly the wrong way round with Brussels? How on earth are we meant to decide on the financial matters before we know the more general direction of what has been proposed?",Lord Spicer,Conservative,Confident,0.914945
38,Brexit: Role of Parliament,18 July 2016,"My Lords, in answer to my noble friend Lord Lawson, the Minister confirmed that parliamentary authority was at the root of the referendum itself. Therefore, surely, in answer to the noble Lord, Lord Tyler, he has to accept that it is the essence of the entire process.",Lord Spicer,Conservative,Confident,0.930277
39,Brexit: Armed Forces and Diplomatic Service,8 December 2016,"My Lords, it has become almost a cliché to say there are tremendous similarities between the period leading up to the Second World War and the present time: economic instability; a dictator wanting to distract his own countrymen by foreign adventure, practising his tactics, strategy and his new arms in somebody else’s civil war; talk of minorities of his country, which is a potential aggressor, living in countries surrounding it; even a British tennis champion striding the world on both occasions. As with all clichés, this is not the only part of the story. As I understand it, there is no massed army on the borders of Russia waiting not only to invade but to occupy and subjugate surrounding countries. What there is is a great deal of mutual fear and of lack of confidence in oneself on both sides. As my noble friend Lord Sterling mentioned, this can itself be dangerous and lead to war by default. The analogy might well be with the First World War, perhaps, rather than the Second World War.",Lord Spicer,Conservative,Tentative,0.742317
40,Brexit: UK-EU Movement of People (EUC Report),17 July 2017,"My Lords, this is now the gap, so I have four minutes through my own incompetence in not putting my name down on Friday. My only worry is I will not be able to get across quite how much I disagree with, I think, every single speech—it is a very arrogant position to be in but I am afraid it is the truth. I will take up 30 seconds of my speech to say to the noble Lord, Lord Stunell, that I quite agree that the construction industry is important, but why do we need to be a member of the single market to build houses in Britain? I did not quite follow his logic.",Lord Spicer,Conservative,Fear,0.773175
41,Brexit: North-East of England,9 May 2018,"My Lords, we have been pouring money into the north-east ever since Lord Hailsham went up there in his cloth cap and I fought Emanuel Shinwell in the 1960s in Easington, and yet nothing much seems to change. Surely that can only get better after Brexit.",Lord Spicer,Conservative,Confident,0.621183
42,Brexit: Negotiation Programme,20 March 2017,"My Lords, would my noble friend confirm that this is not a planted Question? I had absolutely no idea a month ago that the Government were going to choose this day to announce the date of the application under Article 50. Perhaps I may press him on one issue, which is that of reversibility. I assume that, once the application has been put in under Article 50, it is not reversible.",Lord Spicer,Conservative,Tentative,0.868906
43,Brexit: World Trade Organization Rules,19 December 2016,"My noble friend will be aware that air service agreements do not fall within the remit of the WTO. When we come to leave the European Union, undoubtedly there will be major negotiations to ensure and preserve open skies in Europe. Will those be a good example of the negotiations that will have to take place outside the Brexit negotiations and therefore outside the timetable set by Article 50?",Lord Spicer,Conservative,Confident,0.834281
44,Brexit: UK-EU Movement of People (EUC Report),17 July 2017,"The noble and learned Lord, Lord Brown, talked about the price that we will have to pay in freedom of movement of people and so on. I do not think the price is very high at all; it is very low. The WTO will do, frankly. It is not second-best; it will do, although that is the reverse, I realise, of what many people in this Chamber think.",Lord Spicer,Conservative,Confident,0.944761
45,Brexit: Armed Forces and Diplomatic Service,8 December 2016,"The second anecdote I wanted to refer to concerns an admiral I met recently, who was very taxed by the fact that four Russian warships got out of “their sea”, as he called it, the Black Sea, came into “our sea”, the Mediterranean Sea, and pointed their guns at our ​ships. He had to point his guns at their ships. This was a nasty moment all round. The point he was making was that it is not just the Royal Air Force that is constantly having to intercept Russian planes. We come very close to some nasty occurrence. Turkey did shoot down a Russian plane, just before the British anecdote I referred to.",Lord Spicer,Conservative,Confident,0.781073
46,Brexit: Armed Forces and Diplomatic Service,8 December 2016,"There is a real danger of mutual fear and a mutual sense of not being up to the job. The Russians are fearful of their economy being the problem; on our side is the fear that we cannot keep up with Russian armament. That is serious. There is a very clear antidote to it. In our case in the West, we have to rearm. What my noble friend Lord Hamilton said about NATO is absolutely right and what has been said before was wrong: we have to have a strong NATO and to rely on the Americans. If one really looks between the lines, the new President-elect is really saying that Europe is not playing its part. My noble friend is absolutely right when he said that if we argue for a muddled chain of command, with the European Union being muddled with NATO, we really are in for a mess.",Lord Spicer,Conservative,Confident,0.898582
47,Brexit: UK-EU Movement of People (EUC Report),17 July 2017,"We are talking about economics, basically. One of the basic arguments used about this country is that the economic benefits of being a member of the single market, the customs union and so on outweigh the political cost of loss of sovereignty. That is the reverse, for instance, of Germany. Germany has economic costs that it suffers by not having the Bundestag, the deutschmark and so on, and it thinks it makes it up on political matters. This swap of politics and economics goes on.",Lord Spicer,Conservative,Sadness,0.753098
48,Brexit: Armed Forces and Diplomatic Service,8 December 2016,"We have to look strong in the West. We would then be in a position, for instance, to take away the embargo on the Russian economy. The other side of the coin is that we should allow it to have back its self-esteem. When we come to a point where the two sides are looking each other in the eye from a position of self-confidence, we will then have some hope of continued peace.",Lord Spicer,Conservative,Tentative,0.580488
49,Brexit: Negotiations,6 June 2018,"Where does the noble Lord, Lord Dykes, get his forecasts of doom and gloom from? I hope it is not the Bank of England.",Lord Spicer,Conservative,Tentative,0.865388
50,Brexit and Foreign Affairs,26 June 2017,"Having said all that, I firmly believe that in recent years Mansfield’s potential has been heading steeply upwards. Now, huge collectives like Maun Valley Citizens, bringing together schools, churches and countless other groups, are working towards united and shared goals such as reducing homelessness and improving the lives of vulnerable people. Fantastic institutions like West Nottinghamshire College—one of Europe’s largest colleges, offering everything from technical and vocational courses to university degrees—are providing opportunities for young people in Mansfield to gain new skills and qualifications, and to improve their prospects for the future.",Ben Bradley,Conservative,Joy,0.829771
51,Brexit and Foreign Affairs,26 June 2017,"I am honoured and humbled to have been elected by the residents of Mansfield as the constituency’s first ever Conservative Member of Parliament. The seat has been held by Labour since 1923, so that is a huge vote of confidence and faith that I must strive to repay in full over the coming years.",Ben Bradley,Conservative,Confident,0.944427
52,Brexit and Foreign Affairs,26 June 2017,"I am sure that I am not the only new Member sitting on these green Benches to have wondered at some point over the last few weeks how on earth I have ended up here. Looking back, I have realised that after working as a landscape gardener and as a recruiter, I actually found my calling and inspiration—as so many people surely do—in the bin. I was so frustrated by the local council’s failure to empty my household bins for a full month because of just one day of snow that I simply had to act. I could not rest until there was action on the issue, so I stood for the council myself. I was duly elected and have been banging on about household waste management ever since to the limited audience who will listen.",Ben Bradley,Conservative,Sadness,0.590996
53,Brexit and Foreign Affairs,26 June 2017,"If the end of the old mills and factories led to unemployment and decline, so did the end of the mining industry through the 1980s and 1990s. Coalmining was the centre of local communities throughout much of the 20th century, not just for work but for all kinds of other support. It is a heritage of which people are rightly proud, and I shall be supporting calls for the creation of a new museum in the town centre to protect that heritage and ensure that future generations know and understand it. The regeneration that the area desperately needs has been slow in coming. Market Warsop no longer has the kind of thriving market that gave the town its name, while empty shops around the town centre are prevalent, and it has taken far too long to revitalise.",Ben Bradley,Conservative,Joy,0.522902
54,Brexit and Foreign Affairs,26 June 2017,"It is a privilege to be able to make my maiden speech and to follow the hon. Member for Cardiff South and Penarth (Stephen Doughty), who spoke with his usual eloquence.",Ben Bradley,Conservative,Tentative,0.544371
55,Brexit and Foreign Affairs,26 June 2017,"Mansfield is an area that has been sustained over centuries by great industry. The first cotton mills and frame-knitting factories sprang up many centuries ago, and many of the landmarks that exist today are named after them. There is the hospital, King’s Mill, the football stadium, Field Mill—although it is currently known by a sponsor’s name—and many other examples. Legend tells that, in the 12th century, King Henry II got lost in the woods while hunting in Sherwood Forest and found his way to one of the local mills. The miller and his family thought that he looked a clean and decent kind of chap, and offered him a bed for the night. In the morning, when the King finally announced himself, the family dropped to their knees to beg forgiveness for being so familiar. He promptly knighted the miller, there and then. The Sir John Cockle pub now stands as a landmark to that event, and was a favourite haunt of mine during the election campaign—for that purely historical reason!",Ben Bradley,Conservative,Joy,0.554773
56,The Government's Plan for Brexit,7 December 2016,"Having said that, the role of Parliament is to deal with all the issues that will come up after we have triggered the process, reflecting the fact that we want to leave the European Union. To the Government’s great credit, they are putting on a series of debate on the European Union and Brexit in which hon. Members can make their views known. When the Government go to negotiate, they will therefore know the views of Parliament. It would be totally absurd, however, for the Government to lay down their negotiating hand in advance. It would just be daft. When I was in business, I did not tell the opposition what I wanted in advance of a negotiation. In the same way, the chief spokesman for the European Union has said this week that he will not lay down in advance what the European Union wants.",Mr Peter Bone,Conservative,Confident,0.687979
57,The Government's Plan for Brexit,7 December 2016,I am always glad to be corrected by a former Chief Whip. What my right hon. Friend said is undoubtedly the case.,Mr Peter Bone,Conservative,Confident,0.985422
58,The Government's Plan for Brexit,7 December 2016,"I do not want the shadow Secretary of State to inadvertently mislead the House. We already have legislation before this House—the Withdrawal from the European Union (Article 50) Bill—which has had its First Reading and will get its Second Reading on 16 December, unless someone objects.",Mr Peter Bone,Conservative,Tentative,0.647781
59,The Government's Plan for Brexit,7 December 2016,"I will turn to an aspect of this debate that we have not touched on completely, because it has suddenly started to be about parliamentary sovereignty. As somebody who has always defended the right of Parliament and has been concerned about the power of the Executive, hon. Members would expect me to bang on about that and say that we should have a vote in this House on article 50. In fact, I have always thought we should do so. However, the reason why the Government are right to say that they can use the royal prerogative to trigger article 50 is the unique circumstances of the referendum. This House, in an Act of Parliament, gave the British people the right to decide that question. That is why I absolutely defend the right of the Government to proceed in the way they have thought fit to proceed.",Mr Peter Bone,Conservative,Confident,0.684092
60,The Government's Plan for Brexit,7 December 2016,"It is a great pleasure to follow the hon. Member for Bury South (Mr Lewis). He made an important point about ​reconnecting with the electorate. I entirely agree with him that for too many years Governments have thought that they knew best and have ignored the people. For instance, they have not been willing to engage on the issue of immigration. He is also absolutely right to say that we can want controlled immigration without demonising immigrants.",Mr Peter Bone,Conservative,Confident,0.670747
61,The Government's Plan for Brexit,7 December 2016,"It is nice to see you back in the Chair again, Mr Speaker. The fact that you are giving so much attention to this debate clearly shows that it is an important one.",Mr Peter Bone,Conservative,Confident,0.950217
